articleLink,imageLink,tag
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,table
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,small
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,sitting
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,bird
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,food
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,front
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,standing
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,bowl
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,fruit
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,black
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,vase
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,banana
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,plate
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,holding
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,man
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,group
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,cake
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,https://knowridge.com/wp-content/uploads/2018/10/Amazon-has-lifted-its-wages-but-the-implications-aren%E2%80%99t-as-good-as-you-might-think.jpg,display
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,https://www.latimes.com/resizer/1kSc1mUFSWgUhMhPmfdM9fcEm_A=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/LFTO4AHTEJEE7GVQOZYTZENLRA.jpg,indoor
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,https://www.latimes.com/resizer/1kSc1mUFSWgUhMhPmfdM9fcEm_A=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/LFTO4AHTEJEE7GVQOZYTZENLRA.jpg,curtain
