articleLink,imageLink,accessories,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,beard,mustache,sideburns,gender,glasses,bald,hairColor,makeup,smile
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,https://www.latimes.com/resizer/1kSc1mUFSWgUhMhPmfdM9fcEm_A=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/LFTO4AHTEJEE7GVQOZYTZENLRA.jpg,False,54.0,0.001,0.001,0.0,0.006,0.001,0.968,0.006,0.017,0.0,0.0,0.0,female,NoGlasses,0.02,blond,True,0.001
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,https://amp.businessinsider.com/images/5bc04eb99a4ab8688471f0c2-1136-568.jpg,False,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.11,blond,True,1.0
https://www.bustle.com/p/new-episodes-of-the-romanoffs-will-be-available-on-a-weekly-basis-a-first-for-amazon-12232694,https://imgix.bustle.com/uploads/image/2018/10/11/c27fa08f-d387-448b-b175-5ffca2dcbd89-the-romanoffs-tr_104_expectation_19083_fnl_rgb.jpg?w=1200&h=630&q=70&fit=crop&crop=faces&fm=jpg,False,27.0,0.0,0.266,0.0,0.0,0.354,0.38,0.001,0.0,0.0,0.0,0.0,female,NoGlasses,0.22,brown,True,0.354
https://uproxx.com/tv/whats-on-tonight-the-romanoffs-amazon/,https://uproxx.files.wordpress.com/2018/10/181010-romanoffs-jpg.jpg?quality=95&w=650,False,48.0,0.0,0.0,0.0,0.0,0.14,0.86,0.0,0.0,0.6,0.6,0.6,male,NoGlasses,0.01,brown,False,0.14
https://uproxx.com/tv/whats-on-tonight-the-romanoffs-amazon/,https://uproxx.files.wordpress.com/2018/10/181010-romanoffs-jpg.jpg?quality=95&w=650,True,54.0,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.0,0.0,0.0,0.0,female,Sunglasses,0.39,blond,True,0.001
https://www.msn.com/en-gb/entertainment/tv/blake-lively-eyeing-tv-return-for-secret-amazon-series/ar-BBOgbz0,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBOgbyX.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=473&y=297,False,33.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.02,brown,True,0.96
https://www.yahoo.com/news/usps-proposes-amazon-pay-12-173000498.html,https://s.yimg.com/uu/api/res/1.2/1ADfQcCXtBHrOtVvt7kyeQ--~B/aD0yMjU7dz00MDA7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en-US/video/video.cnbc2.com/4dafb37dc3057c88d2511d06406e0198,False,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.2,brown,False,1.0
http://nymag.com/strategist/article/best-rain-jackets-for-men.html,https://pixel.nymag.com/imgs/daily/strategist/2018/10/11/11-mens-raaincoats-lede.w1200.h630.jpg,False,58.0,0.055,0.003,0.0,0.0,0.0,0.939,0.004,0.0,0.1,0.1,0.1,male,NoGlasses,0.01,brown,False,0.0
https://www.fool.com/investing/2018/10/11/did-chinas-military-plant-hacking-devices-in-us-co.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F496751%2Fthumbnail_02.jpg&h=630&w=1200&op=resize,False,25.0,0.0,0.003,0.0,0.001,0.001,0.924,0.067,0.005,0.1,0.1,0.1,male,NoGlasses,0.06,black,False,0.001
https://www.businessinsider.com/amazon-uses-seinfeld-pseudonym-hide-virginia-datacenter-2018-10,https://amp.businessinsider.com/images/5bbfc65421e9cb6197471e6e-1536-768.png,True,37.0,0.0,0.001,0.0,0.0,0.001,0.997,0.0,0.0,0.1,0.1,0.1,male,ReadingGlasses,0.77,brown,False,0.001
