articleLink,phrase
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,US
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,lot
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,employees’ minimum wage
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,Retail giant Costco
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,hour
https://knowridge.com/2018/10/amazon-has-lifted-its-wages-but-the-implications-arent-as-good-as-you-might-think/,Amazon
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,Amazon Prime’s new anthology drama
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,recurring theme
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,Romanoffs
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,episodes
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,separate stories
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,way
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,Lineage
http://www.latimes.com/entertainment/tv/la-et-st-romanoffs-review-amazon-20181012-story.html,series
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,line of bed
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,box foam mattresses
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,AmazonBasics product line
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,free two-day shopping
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,Prime members
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,crowded mattress market
https://www.retailcustomerexperience.com/news/amazon-launches-a-mattress-brand/,news
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,US tech giants
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,BBC's Director of Content Charlotte Moore
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,aim
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,enormous thirst
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,powerful TV executives
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,Netflix
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,data
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,night
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,world's
https://www.businessinsider.com/bbc-tv-chief-charlotte-moore-slams-netflix-and-amazon-2018-10,Amazon
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,spectre
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,Amazon
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,big banking bogeyman
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,bank account
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,e-commerce giant
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,study
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,US
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,Prime subscribers
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,Bain
https://www.finextra.com/newsarticle/32772/amazon-casts-a-long-dark-shadow-over-banking,research
https://www.themarketsdaily.com/2018/10/12/valicenti-advisory-services-inc-sells-241-shares-of-amazon-com-inc-amzn.html,shares of
https://www.themarketsdaily.com/2018/10/12/valicenti-advisory-services-inc-sells-241-shares-of-amazon-com-inc-amzn.html,e-commerce giant’s stock
https://www.themarketsdaily.com/2018/10/12/valicenti-advisory-services-inc-sells-241-shares-of-amazon-com-inc-amzn.html,position
https://www.themarketsdaily.com/2018/10/12/valicenti-advisory-services-inc-sells-241-shares-of-amazon-com-inc-amzn.html,Valicenti Advisory Services
https://www.themarketsdaily.com/2018/10/12/valicenti-advisory-services-inc-sells-241-shares-of-amazon-com-inc-amzn.html,quarter
