articleLink,imageLink,color
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,https://electriccarsreport.com/wp-content/uploads/2018/10/StreetScooter-WORK-XL.jpg?x50765,Yellow
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,https://electriccarsreport.com/wp-content/uploads/2018/10/StreetScooter-WORK-XL.jpg?x50765,Grey
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,https://electriccarsreport.com/wp-content/uploads/2018/10/StreetScooter-WORK-XL.jpg?x50765,Black
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,https://d15zn84cat5tp0.cloudfront.net/wp-content/uploads/2018/09/christine-ford-blasey-9-804x536.jpg,Black
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,https://d15zn84cat5tp0.cloudfront.net/wp-content/uploads/2018/09/christine-ford-blasey-9-804x536.jpg,Brown
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,https://i0.wp.com/hot-cars.org/wp-content/uploads/2018/10/pro_street_classic_mustangs.jpg?resize=726%2C389,Grey
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,https://i0.wp.com/hot-cars.org/wp-content/uploads/2018/10/pro_street_classic_mustangs.jpg?resize=726%2C389,Black
http://234vibesnews.com/2018/10/12/dr-christine-blasey-ford-nominated-for-unc-award.html,http://static6.uk.businessinsider.com/image/5bbb271ebde70f251f5b3003-1800/gettyimages-1041805678.jpg,Black
http://234vibesnews.com/2018/10/12/dr-christine-blasey-ford-nominated-for-unc-award.html,http://static6.uk.businessinsider.com/image/5bbb271ebde70f251f5b3003-1800/gettyimages-1041805678.jpg,Brown
http://infositehub.com/2018/10/12/unc-prof-proposes-distinguished-grad-award-for-blasey-ford.html,https://media.townhall.com/townhall/reu/ha/2018/279/85067148-c680-4dfc-bdff-674e5c2ff4b1.jpg,Black
