articleLink,phrase
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,medium-sized electric
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,StreetScooter WORK XL electric van
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,Ford Otosan joint venture plant
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,Turkey
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,Kocaeli
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,European headquarters
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,production
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,Cologne
https://electriccarsreport.com/2018/10/ford-launches-serial-production-of-the-streetscooter-work-xl-electric-van/,Germany
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,nomination letter
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,UNC English professor Jennifer Ho
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,sexual assault
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,campus board of trustees
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,award bestowed
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,Blasey Ford
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,month's
http://globalengineeringnews.com/2018/10/12/christine-blasey-ford-nominated-for-distinguished-alumna/,example
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,stock
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,disastrous run
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,Ford Motor
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,technical analysis
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,shares
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,current price
https://www.investopedia.com/news/ford-stock-seen-falling-lowest-level-9-years/,profits
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,muscle car
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,local car
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,pro street
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,Ford Mustang
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,Sublimeracer
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,pure evil
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,aggressive appearance
http://hot-cars.org/2018/10/12/this-pro-street-1970-ford-mustang-is-pure-evil/,video
https://www.motherjones.com/media/2018/10/homer-women-speaking-mary-beard-elizabeth-warren-hillary-clinton-christine-blasey-ford-trump-vocal-fry/,President Donald Trump’s belittling of professor Christine Blasey Ford
https://www.motherjones.com/media/2018/10/homer-women-speaking-mary-beard-elizabeth-warren-hillary-clinton-christine-blasey-ford-trump-vocal-fry/,long history
https://www.motherjones.com/media/2018/10/homer-women-speaking-mary-beard-elizabeth-warren-hillary-clinton-christine-blasey-ford-trump-vocal-fry/,latest entry
https://www.motherjones.com/media/2018/10/homer-women-speaking-mary-beard-elizabeth-warren-hillary-clinton-christine-blasey-ford-trump-vocal-fry/,sexual assault
https://www.motherjones.com/media/2018/10/homer-women-speaking-mary-beard-elizabeth-warren-hillary-clinton-christine-blasey-ford-trump-vocal-fry/,Beard
