articleLink,headline,headlineSentiment,textSnippet
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,Ex-NASA Contractor Pleads Guilty in LA to Computer Stalking,0.2523452043533325,"A onetime NASA contractor pleaded guilty Thursday in Los Angeles to federal charges of stalking women online with threats to publish nude photos unless they provided him with additional explicit pictures. Richard Gregory Bauer, 28, a former contractor at ..."
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,NASA Use Microsoft HoloLens for Assembling New Spacecraft,0.5,"When building something that needs to take human beings into space, getting it right first time is completely vital. This is very challenging when building a completely unique device, something which has never been built before. Lockheed Martin engineers ..."
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,NASA’s Plan To Save Earth From The Yellowstone Supervolcano,0.5,"Even though we are constantly being told by scientists not to worry about the Yellowstone supervolcano, NASA is now on a mission to save the Earth from exactly that. NASA has ambitious plans to prevent the extinction of the human race by drilling into the ..."
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,"'First Man,' about astronaut Neil Armstrong, is out of this world (review)",0.5,"""First Man"" is the story of Neil Armstrong, the reluctant hero and first man to walk on the moon on July 20, 1969. The story covers the NASA years from 1961 to that historic day. This is a sober and even somber movie, as it focuses initially on the death ..."
http://www.parabolicarc.com/2018/10/12/report-nasa-expand-search-life-astrobiology-integral-part-missions/,"Report: NASA Should Expand the Search for Life, Make Astrobiology Integral Part of Missions",0.5,"WASHINGTON – To advance the search for life in the universe, NASA should support research on a broader range of biosignatures and environments, and incorporate the field of astrobiology into all stages of future exploratory missions, says a new ..."
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,"NASA Astronaut, Cosmonaut Safe After Abort During Launch to International Space Station",0.5,"Washington, D.C. – American astronaut Nick Hague and Russian cosmonaut Alexey Ovchinin are resting comfortably in the city of Baikonur, Kazakhstan, after an anomaly occurred shortly after their launch. The Soyuz MS-10 spacecraft launched from the ..."
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,Watch the Moment the Soyuz Rocket Fails,0.07118752598762512,"As the dust over the incident begins to clear, NASA and its Russian counterpart Roscosmos are still at a loss as what exactly went wrong. What engineers do know is that at the moment the escape tower of the Soyuz was jettisoned, problems began. A video ..."
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,Mudavadi fights Raila over parliamentary committees,0.5,NASA Minority Leader James Orengo in a letter to the Speaker said 17 senators who attended the coalition’s parliamentary group meeting Thursday resolved to replace Were with her nominated colleague Beatrice Kwamboka (ODM). Deputy Speaker Kithure Kindiki ...
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,Astronauts make harrowing escape from rocket,0.1585557758808136,"They fell about 31 miles back to the ground, according to NASA. They were quickly located by rescue teams and flown back to the launch site for an emotional reunion with their families. The failure of the Soyuz MS-10 rocket effectively halts all American ..."
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,Hataoka fires 7-under 65 to lead in South Korea,0.5,"INCHEON, South Korea (AP) -- Nasa Hataoka of Japan fired a 7-under 65 to take a two-stroke lead after the first round of the KEB Hana Bank Championship on Thursday. Danielle Kang and Charley Hull ..."
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,NASA Celebrates the 50th Anniversary of Apollo 7,0.947705864906311,"On Oct. 11, 1968, NASA launched its first crewed Apollo mission, which paved the way for the moon landing less than a year later. Even 50 years later, Apollo 7 is still remembered as one of the most important first test flights of any spacecraft."
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,NASA engineer: US wasn't first to moon 'by much',0.5,"The U.S. space program’s achievement of putting the first man on the moon in 1969 is vividly retold in the current Hollywood film, “First Man.” But little known is the fact the Soviet Union almost achieved a manned lunar mission first. According to ..."
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,‘First Man’ an intimate character study of astronaut Neil Armstrong,0.9286890029907227,"Whether you were alive then and glued to the TV, or relived it later through that iconic, grainy NASA footage, what you probably remember is just that: The majesty. You’re probably not thinking much about the deafening noise, the claustrophobia ..."
https://www.syfy.com/syfywire/voyager-2-may-soon-break-into-interstellar-space,Voyager 2 may soon break into interstellar space,0.19549110531806946,"After NASA’s Voyager 1 probe left the solar system back in 2012, its twin satellite was still trailing behind, but now the suspense is on. It seems that Voyager 2 is now also creeping up on interstellar space. Voyager 2 is currently around about 11 ..."
https://www.upi.com/Top_News/US/2018/10/11/Ex-NASA-contractor-pleads-guilty-to-hacking-womens-accounts-to-get-nude-photos/9341539309576/,Ex-NASA contractor pleads guilty to hacking women's accounts to get nude photos,0.14706271886825562,"Oct. 11 (UPI) --A former NASA contractor pleaded guilty to hacking social media accounts of women and threatening the victims if they didn't send him nude photos, U.S. Attorneys announced Thursday. Richard Gregory Bauer, 28, a former contractor at NASA's ..."
https://www.usatoday.com/videos/tech/science/2018/10/11/watch-nasas-trippy-simulation-pulsars-chaotic-surroundings/38125067/,Watch NASA's trippy simulation of a pulsar's chaotic surroundings,0.12601161003112793,Watch NASA's trippy simulation of a pulsar's chaotic surroundings NASA's new PIC simulation sheds new light on a pulsar's complex environment for the first time ever. Check out this story on USATODAY.com: https://www.usatoday.com/videos/tech/science/2018 ...
http://www.latimes.com/local/lanow/la-me-ln-nasa-hacking-20181011-story.html,"Former NASA contractor hacked into women's accounts, threatened to publish their nude photos",0.2348766326904297,"Richard Gregory Bauer didn’t hide his identity when he gathered information to hack into the email and social media accounts of his female friends, family members and co-workers. In some cases, the U.S. attorney’s office said, he told them via Facebook ..."
https://newsline.com/2018/10/11/betty-grissom-astronaut-wife-who-sued-nasa-partner-dies-at-91/,"Betty Grissom, Astronaut Wife Who Sued NASA Partner, Dies at 91",0.017659932374954224,"ImageThe astronaut Virgil Grissom was reunited with his wife, Betty, and their sons, Scott (left) and Mark, at the Kennedy Space Center in Florida after his three-orbit flight in 1965. He was ..."
http://www.wmra.org/post/booster-soyuz-rocket-malfunctions-trip-space-delayed,"Booster On Soyuz Rocket Malfunctions, Trip To Space Delayed",0.7541030645370483,"What happened over the next few minutes is not entirely clear yet. But the engine shut off. The crew separated from the rocket, and they began what NASA calls a ballistic landing, essentially a very high-speed flight, unpowered, through the atmosphere to ..."
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,Soyuz Mission Aborted 2 Minutes After Launch; Astronaut And Cosmonaut Survive Emergency Landing,0.5,(CNN) — NASA astronaut Nick Hague and Russian cosmonaut Alexey Ovchinin are in what NASA director Jim Bridenstine described as “good condition” after surviving an emergency landing after a ...
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,"NASA astronaut, Russian cosmonaut make emergency landing on earth",0.5,"He didn't say if he suspected any of the current crew - an American, a Russian and a German aboard the station. It's exceptionally hard to believe Roscosmos could rush through an incident investigation before the scheduled December 20th launch of Soyuz MS ..."
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,Space crew survives plunge to Earth after Russian rocket fails,0.12469735741615295,"For years, since NASA's final shuttle mission launched in 2011, the US has relied on Russian rockets to send astronauts to the International Space Station, which is largely funded by America taxpayer dollars. It was the latest in a recent series of ..."
