articleLink,entity,wikiLink
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,NASA,https://en.wikipedia.org/wiki/NASA
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,Lockheed Martin,https://en.wikipedia.org/wiki/Lockheed_Martin
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,Yellowstone Caldera,https://en.wikipedia.org/wiki/Yellowstone_Caldera
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,Earth,https://en.wikipedia.org/wiki/Earth
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,NASA,https://en.wikipedia.org/wiki/NASA
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,Neil Armstrong,https://en.wikipedia.org/wiki/Neil_Armstrong
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,Apollo 11,https://en.wikipedia.org/wiki/Apollo_11
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,First Man (film),https://en.wikipedia.org/wiki/First_Man_(film)
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,NASA,https://en.wikipedia.org/wiki/NASA
http://www.parabolicarc.com/2018/10/12/report-nasa-expand-search-life-astrobiology-integral-part-missions/,"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
http://www.parabolicarc.com/2018/10/12/report-nasa-expand-search-life-astrobiology-integral-part-missions/,NASA,https://en.wikipedia.org/wiki/NASA
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,Soyuz MS-10,https://en.wikipedia.org/wiki/Soyuz_MS-10
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,Nick Hague,https://en.wikipedia.org/wiki/Nick_Hague
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,United States,https://en.wikipedia.org/wiki/United_States
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,Baikonur Cosmodrome,https://en.wikipedia.org/wiki/Baikonur_Cosmodrome
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,Russia,https://en.wikipedia.org/wiki/Russia
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,Roscosmos,https://en.wikipedia.org/wiki/Roscosmos
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,Soyuz (spacecraft),https://en.wikipedia.org/wiki/Soyuz_(spacecraft)
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,NASA,https://en.wikipedia.org/wiki/NASA
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,Party leaders of the United States Senate,https://en.wikipedia.org/wiki/Party_leaders_of_the_United_States_Senate
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,James Orengo,https://en.wikipedia.org/wiki/James_Orengo
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,NASA,https://en.wikipedia.org/wiki/NASA
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,Orange Democratic Movement,https://en.wikipedia.org/wiki/Orange_Democratic_Movement
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,Soyuz MS,https://en.wikipedia.org/wiki/Soyuz_MS
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,United States,https://en.wikipedia.org/wiki/United_States
https://www.sfgate.com/news/article/American-Russian-alive-after-Soyuz-rocket-headed-13298574.php,NASA,https://en.wikipedia.org/wiki/NASA
https://sports.yahoo.com/nasa-hataoka-fires-7-under-65-lead-south-073410939--golf.html,Incheon,https://en.wikipedia.org/wiki/Incheon
