articleLink,imageLink,color
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,https://www.vrfocus.com/wp-content/uploads/2018/10/lockheed-martinarcontentoverlay.png,Grey
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,http://images.newsnowgr.com/120/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano-1-315x236.jpg,Orange
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,http://images.newsnowgr.com/120/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano-1-315x236.jpg,Brown
http://www.clarksvilleonline.com/2018/10/12/nasa-astronaut-cosmonaut-safe-after-abort-during-launch-to-international-space-station/,http://www.clarksvilleonline.com/wp-content/uploads/2011/08/NASA.jpg,White
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,https://s1.cdn.autoevolution.com/images/news-gallery-130x/astronauts-in-good-condition-after-emergency-soyuz-landing-thumbnail_1.jpg,Black
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,https://s1.cdn.autoevolution.com/images/news-gallery-130x/astronauts-in-good-condition-after-emergency-soyuz-landing-thumbnail_1.jpg,White
https://www.autoevolution.com/news/watch-the-moment-the-soyuz-rocket-fails-129322.html,https://s1.cdn.autoevolution.com/images/news-gallery-130x/astronauts-in-good-condition-after-emergency-soyuz-landing-thumbnail_1.jpg,Brown
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,https://www.standardmedia.co.ke/images/friday/onklsxgn3b32od5h5bc041c98bfd0.jpg,Black
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,https://www.standardmedia.co.ke/images/friday/onklsxgn3b32od5h5bc041c98bfd0.jpg,White
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,https://www.standardmedia.co.ke/images/friday/onklsxgn3b32od5h5bc041c98bfd0.jpg,Grey
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,https://www.technology.org/texorgwp/wp-content/uploads/2018/10/apollo_7_prime_crew_2.jpg,White
https://www.technology.org/2018/10/12/nasa-celebrates-the-50th-anniversary-of-apollo-7/,https://www.technology.org/texorgwp/wp-content/uploads/2018/10/apollo_7_prime_crew_2.jpg,Grey
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,http://www.dailyadvance.com/image/2018/10/04/300x_b2_bc444444_q90_w4_p2/100518-Langley-1.jpg,Brown
http://www.dailyadvance.com/Lifestyles/2018/10/12/NASA-engineer-US-wasn-t-first-to-moon-by-much.html,http://www.dailyadvance.com/image/2018/10/04/300x_b2_bc444444_q90_w4_p2/100518-Langley-1.jpg,Red
http://www.staradvertiser.com/2018/10/11/nyt/first-man-an-intimate-character-study-of-astronaut-neil-armstrong/,http://www.staradvertiser.com/wp-content/uploads/2018/10/web1_7657595-b342bb194faf4e0586b4be944ad15dbd.jpg,Black
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,https://cbsdenver.files.wordpress.com/2018/10/s100065129.jpg?w=420&h=244,Blue
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,https://cbsdenver.files.wordpress.com/2018/10/s100065129.jpg?w=420&h=244,White
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,http://img.rasset.ie/0010cd66-500.jpg,White
http://fairydetox.org/2018/10/12/nasa-astronaut-russian-cosmonaut-make-emergency-landing-on.html,http://img.rasset.ie/0010cd66-500.jpg,Black
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,https://img.purch.com/w/660/aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA3OS85NDMvb3JpZ2luYWwvb3ZjaGluaW4taGFndWUuanBn,Black
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,https://img.purch.com/w/660/aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA3OS85NDMvb3JpZ2luYWwvb3ZjaGluaW4taGFndWUuanBn,Grey
http://thefootballexaminer.com/2018/10/12/after-emergency-landing-nasa-says-2-astronauts-are-in-good/,http://www.dw.com/image/17834077_303.jpg,Brown
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,https://s.yimg.com/uu/api/res/1.2/RN5CXS7EwU.89O1DpSuvMw--~B/aD0xNzQ0O3c9MjQwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en_us/News/ap_webfeeds/43621f7c10184893af74928f6d00d857.jpg,Brown
https://www.yahoo.com/news/latest-us-russia-astronauts-making-emergency-landing-091014609.html,https://s.yimg.com/uu/api/res/1.2/RN5CXS7EwU.89O1DpSuvMw--~B/aD0xNzQ0O3c9MjQwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en_us/News/ap_webfeeds/43621f7c10184893af74928f6d00d857.jpg,Blue
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,http://spacecoastdaily.com/wp-content/uploads/2018/10/Apollo7-moon-580-2.jpg,Grey
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,http://spacecoastdaily.com/wp-content/uploads/2018/10/Apollo7-moon-580-2.jpg,White
http://spacecoastdaily.com/2018/10/this-day-in-history-nasa-launches-first-crewed-apollo-mission-50-years-ago/,http://spacecoastdaily.com/wp-content/uploads/2018/10/Apollo7-moon-580-2.jpg,Blue
https://ktla.com/2018/10/11/l-a-man-who-contracted-with-nasa-pleads-guilty-to-hacking-womens-online-accounts-threatening-them-to-obtain-nude-photos/,https://tribktla.files.wordpress.com/2018/09/gettyimages-903955770.jpg?quality=85&strip=all&w=1200,Blue
https://ktla.com/2018/10/11/l-a-man-who-contracted-with-nasa-pleads-guilty-to-hacking-womens-online-accounts-threatening-them-to-obtain-nude-photos/,https://tribktla.files.wordpress.com/2018/09/gettyimages-903955770.jpg?quality=85&strip=all&w=1200,Black
https://www.msn.com/en-us/news/technology/rocket-launch-failure-can-spell-disruptions-for-nasas-missions/ar-BBOecMI,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBOg8G2.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg,Grey
http://cybersecuritycaucus.com/2018/10/nasa-desperately-trying-to-rescue-hubble-space-telescope/,https://www.evolving-science.com/sites/default/files/field/image/Hubble-Telescope-.jpg,Black
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,https://media.gannett-cdn.com/29906170001/29906170001_5847618041001_5847617511001-vs.jpg?pubId=29906170001?width=3200&height=1800&fit=crop,Blue
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,https://media.gannett-cdn.com/29906170001/29906170001_5847618041001_5847617511001-vs.jpg?pubId=29906170001?width=3200&height=1800&fit=crop,Grey
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,https://media.gannett-cdn.com/29906170001/29906170001_5847618041001_5847617511001-vs.jpg?pubId=29906170001?width=3200&height=1800&fit=crop,Black
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,https://thenypost.files.wordpress.com/2018/10/nasa-hubble-telescope.jpg,Black
http://babescapes.gallery/2018/10/12/nasa-s-hubble-space-telescope-put-in-standby-due-to/,https://thenypost.files.wordpress.com/2018/10/nasa-hubble-telescope.jpg,Grey
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,https://s.yimg.com/ny/api/res/1.2/PzwnEuRawkxI7KPr1NKbKA--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://media.zenfs.com/en-US/homerun/science.mashable/ee45db48ea6b814d95102a3b47408805,White
http://fairydetox.org/2018/10/11/iss-crew-in-good-condition-after-failed-space-launch.html,https://s.yimg.com/ny/api/res/1.2/PzwnEuRawkxI7KPr1NKbKA--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9ODAw/http://media.zenfs.com/en-US/homerun/science.mashable/ee45db48ea6b814d95102a3b47408805,Black
https://www.duluthnewstribune.com/news/world/4512211-american-russian-alive-after-soyuz-rocket-headed-space-station-fails-launch,http://www.inforum.com/sites/default/files/russia-space-2ndld-writethru-0a7b0ca6-cd88-11e8-920f-dd52e1ae4570.jpg,Black
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,https://medcitynews.com/wp-content/uploads/2018/08/human-chain-paper-picture-id845547386-300x150.jpg,White
https://medcitynews.com/2018/10/nasa-clinical-decision-support-space/,https://medcitynews.com/wp-content/uploads/2018/08/human-chain-paper-picture-id845547386-300x150.jpg,Grey
