articleLink,imageLink,accessories,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,beard,mustache,sideburns,gender,glasses,bald,hairColor,makeup,smile
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,https://www.standardmedia.co.ke/images/friday/onklsxgn3b32od5h5bc041c98bfd0.jpg,False,56.0,0.028,0.02,0.004,0.0,0.003,0.942,0.003,0.001,0.1,0.1,0.1,male,NoGlasses,0.12,black,False,0.003
https://www.standardmedia.co.ke/article/2001298770/mudavadi-fights-raila-over-parliamentary-committees,https://www.standardmedia.co.ke/images/friday/onklsxgn3b32od5h5bc041c98bfd0.jpg,False,58.0,0.001,0.016,0.002,0.0,0.149,0.813,0.019,0.0,0.6,0.1,0.1,male,NoGlasses,0.24,black,False,0.149
https://denver.cbslocal.com/2018/10/11/soyuz-mission-aborted-astronaut-cosmonaut-survive-emergency-landing/,https://cbsdenver.files.wordpress.com/2018/10/s100065129.jpg?w=420&h=244,False,57.0,0.0,0.001,0.0,0.0,0.536,0.462,0.0,0.001,0.1,0.1,0.1,male,NoGlasses,0.7,blond,False,0.536
http://opticxllyaroused.com/2018/10/12/space-crew-survives-plunge-to-earth-after-russian-rocket.html,https://img.purch.com/w/660/aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA3OS85NDMvb3JpZ2luYWwvb3ZjaGluaW4taGFndWUuanBn,False,35.0,0.0,0.001,0.0,0.0,0.668,0.332,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.04,brown,True,0.668
https://mynasadata.larc.nasa.gov/atmosphere/stem-career-connections,https://mynasadata.larc.nasa.gov/sites/default/files/styles/carousel_imag_/public/2018-07/lrc-2017-h1_p_yolandashea-0329031%20%281%29_0.jpg?itok=evF2OVc4,False,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.58,brown,False,1.0
https://www.usatoday.com/videos/tech/science/2018/10/11/space-station-could-go-crewless-after-soyuz-launch-failure/38127627/,https://media.gannett-cdn.com/29906170001/29906170001_5847618041001_5847617511001-vs.jpg?pubId=29906170001?width=3200&height=1800&fit=crop,False,55.0,0.009,0.003,0.002,0.003,0.0,0.871,0.018,0.094,0.1,0.1,0.1,male,NoGlasses,0.05,brown,True,0.0
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,False,68.0,0.0,0.014,0.0,0.0,0.826,0.159,0.001,0.0,0.1,0.1,0.1,male,NoGlasses,0.13,gray,False,0.826
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,False,54.0,0.029,0.003,0.026,0.0,0.002,0.934,0.006,0.001,0.6,0.9,0.6,male,NoGlasses,0.03,black,False,0.002
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,False,32.0,0.062,0.0,0.0,0.0,0.0,0.936,0.001,0.0,0.1,0.1,0.1,male,NoGlasses,0.02,black,False,0.0
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,False,55.0,0.0,0.0,0.0,0.001,0.197,0.791,0.009,0.001,0.1,0.1,0.1,male,NoGlasses,0.01,black,False,0.197
https://www.yahoo.com/news/good-news-buried-thursday-apos-165236948.html,https://s.yimg.com/uu/api/res/1.2/YCxBMElxVdZ7dHiYNg2Scg--~B/aD0zNDIwO3c9NDM3MjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/time_72/888eb934fec32901452943bacea5a606,False,39.0,0.0,0.0,0.0,0.0,0.002,0.997,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.5,gray,False,0.002
http://www.awardsdaily.com/2018/10/11/interview-brian-darcy-says-working-on-first-man-with-damien-chazelle-was-a-crash-course-in-all-things-nasa/,http://www.awardsdaily.com/wp-content/uploads/2018/10/tifc-jIA.jpeg,False,44.0,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.04,brown,True,0.001
