articleLink,phrase
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,onetime NASA contractor
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,Los Angeles
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,federal charges of stalking women
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,threats
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,nude photos
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,additional explicit pictures
https://www.nbclosangeles.com/news/local/Ex-NASA-Contractor-Pleads-Guilty-in-LA-to-Computer-Stalking-497167521.html,Richard Gregory Bauer
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,space
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,time
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,unique device
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,Lockheed Martin engineers
https://www.vrfocus.com/2018/10/nasa-use-microsoft-hololens-for-assembling-new-spacecraft/,human beings
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,NASA
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,extinction
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,human race
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,drilling
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,ambitious plans
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,Yellowstone supervolcano
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,mission
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,Earth
http://www.newsnowgr.com/article/1200013/NASAs-Plan-To-Save-Earth-From-The-Yellowstone-Supervolcano.html,scientists
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,Man
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,story of Neil Armstrong
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,reluctant hero
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,NASA years
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,historic day
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,somber movie
https://www.cleveland.com/entertainment/index.ssf/2018/10/first_man_is_out_of_this_world.html,moon
