articleLink,imageLink,color
https://www.i4u.com/2018/10/129678/israel-s-first-moon-mission-faces-delay,https://static1.i4u.com/sites/default/files/imagecache/main_image_large/images/2018/10/pod.jpg,Grey
https://www.teslarati.com/spacex-airplane-like-falcon-9-reusability-goal-2018/,https://www.teslarati.com/wp-content/uploads/2018/05/F9-1046-liftoff-1-Tom-Cross-210x373.jpg,Grey
http://redgreenandblue.org/2018/10/12/lets-look-securities-violations-tesla-teslas-enemies-tons-data/,https://i2.wp.com/redgreenandblue.org/wp-content/uploads/2018/10/oct2.jpg?resize=600%2C208,White
http://redgreenandblue.org/2018/10/12/lets-look-securities-violations-tesla-teslas-enemies-tons-data/,https://i2.wp.com/redgreenandblue.org/wp-content/uploads/2018/10/oct2.jpg?resize=600%2C208,Green
https://www.voanews.com/a/russia-space-agency-astronauts-will-likely-fly-in-spring/4610552.html,https://gdb.voanews.com/5561FC8C-0173-4FBC-AC92-CE1455DF5C93_cx0_cy8_cw0_w250_r1_s.jpg,Black
http://nhltradereport.com/2018/10/12/astronauts-make-emergency-landing-after-escaping.html,http://img.rasset.ie/0010cd66-500.jpg,White
http://nhltradereport.com/2018/10/12/astronauts-make-emergency-landing-after-escaping.html,http://img.rasset.ie/0010cd66-500.jpg,Black
https://boingboing.net/2018/10/09/gorgeous-time-lapse-video-of-s.html,https://i1.wp.com/media.boingboing.net/wp-content/uploads/2018/10/product_23943_product_shots1_image.jpg?fit=600%2C450&ssl=1,Brown
https://boingboing.net/2018/10/09/gorgeous-time-lapse-video-of-s.html,https://i1.wp.com/media.boingboing.net/wp-content/uploads/2018/10/product_23943_product_shots1_image.jpg?fit=600%2C450&ssl=1,Black
https://boingboing.net/2018/10/09/gorgeous-time-lapse-video-of-s.html,https://i1.wp.com/media.boingboing.net/wp-content/uploads/2018/10/product_23943_product_shots1_image.jpg?fit=600%2C450&ssl=1,Grey
http://wisdomsave.com/2018/10/12/hurricane-michael-before-and-after-photos-capture-utter.html,https://static.clubs.nfl.com/image/private/t_editorial_landscape_8_desktop_mobile/t_lazy/f_auto/giants/ivqsoj6qdk2dqtus0jvl.jpg,Grey
http://wisdomsave.com/2018/10/12/hurricane-michael-before-and-after-photos-capture-utter.html,https://static.clubs.nfl.com/image/private/t_editorial_landscape_8_desktop_mobile/t_lazy/f_auto/giants/ivqsoj6qdk2dqtus0jvl.jpg,Black
http://wisdomsave.com/2018/10/12/hurricane-michael-before-and-after-photos-capture-utter.html,https://static.clubs.nfl.com/image/private/t_editorial_landscape_8_desktop_mobile/t_lazy/f_auto/giants/ivqsoj6qdk2dqtus0jvl.jpg,White
https://www.newsoneplace.com/3431761809/proposals-academy-trusts-revealed,https://cnet1.cbsistatic.com/img/cpyb5R2nT63gasmV1uUDd2EBcv4=/300x230/2018/10/05/9979f3bd-2826-4346-b921-c409a6a7f33a/umbrella-academy-netflix.jpg,White
