articleLink,imageLink,accessories,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,beard,mustache,sideburns,gender,glasses,bald,hairColor,makeup,smile
https://www.voanews.com/a/russia-space-agency-astronauts-will-likely-fly-in-spring/4610552.html,https://gdb.voanews.com/5561FC8C-0173-4FBC-AC92-CE1455DF5C93_cx0_cy8_cw0_w250_r1_s.jpg,False,55.0,0.005,0.001,0.002,0.067,0.001,0.82,0.022,0.082,0.1,0.1,0.1,male,NoGlasses,0.04,gray,True,0.001
http://cybersecuritycaucus.com/2018/10/we-finally-know-when-true-detective-season-3-will-air/,https://pmcdeadline2.files.wordpress.com/2018/10/true-detective-season-3-c.jpeg,False,37.0,0.018,0.06,0.001,0.001,0.002,0.895,0.021,0.001,0.1,0.1,0.1,male,NoGlasses,0.37,black,False,0.002
http://cybersecuritycaucus.com/2018/10/we-finally-know-when-true-detective-season-3-will-air/,https://pmcdeadline2.files.wordpress.com/2018/10/true-detective-season-3-c.jpeg,False,33.0,0.0,0.0,0.0,0.001,0.0,0.966,0.023,0.009,0.0,0.0,0.0,female,NoGlasses,0.16,brown,True,0.0
https://abc7ny.com/science/us-russia-astronauts-safe-after-emergency-landing-/4459655/,https://cdns.abclocal.go.com/content/wabc/images/cms/101118-wabc-ap-astronauts-img.jpg,False,44.0,0.001,0.0,0.0,0.0,0.969,0.029,0.001,0.0,0.4,0.4,0.4,male,NoGlasses,0.04,black,False,0.969
http://androidevo.com/2018/10/12/paul-pogba-reveals-two-areas-of-his-game-he-must-improve.html,https://e3.365dm.com/18/10/768x432/skysports-louis-saha-manchester-united_4439372.jpg,False,29.0,0.0,0.0,0.0,0.007,0.0,0.763,0.083,0.146,0.1,0.1,0.1,male,NoGlasses,0.02,brown,False,0.0
http://babescapes.gallery/2018/10/12/trey-songz-loses-his-mind-over-alien-looking-spacex/,https://sslh.ulximg.com/image/740x493/cover/1539037487_efc0f74eb79f9b7c6618b850922754f1.jpg/9a9044b5630c8be2b5d51d5554b27a5f/1539037487_966e850cd97ff37f26e20da5a3d28f5f.jpg,False,32.0,0.002,0.004,0.0,0.0,0.914,0.079,0.0,0.001,0.6,0.6,0.4,male,NoGlasses,0.08,black,False,0.914
https://finance.yahoo.com/news/china-win-ai-superpowers-war-us-just-2-years-ai-expert-182613807.html,https://s.yimg.com/uu/api/res/1.2/OwA.tRQBlS18_pnqVIdTKg--~B/aD0yODkxO3c9MjYzMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/9405b169d9ec6ca73762e260cb21d42c,True,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,ReadingGlasses,0.03,black,False,1.0
http://www.westsideconnect.com/opinion/military-banners-gracing-downtown-gustine/article_b1a1f53e-cd8e-11e8-b8fe-97ef02c24d28.html,https://bloximages.newyork1.vip.townnews.com/westsideconnect.com/content/tncms/assets/v3/editorial/f/93/f93a8e06-78c0-11e8-aa2c-e7e01e828964/5b316a502109f.image.jpg?resize=840%2C630,False,59.0,0.0,0.0,0.0,0.0,0.968,0.032,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.02,gray,True,0.968
https://www.mercurynews.com/2018/10/11/musk-sec-seek-judges-ok-on-fraud-settlement/,https://www.mercurynews.com/wp-content/uploads/2018/09/Unsworth_Musk_04.jpg?w=1024&h=756,False,42.0,0.0,0.001,0.0,0.0,0.023,0.972,0.0,0.003,0.4,0.4,0.1,male,NoGlasses,0.03,black,False,0.023
http://opticxllyaroused.com/2018/10/11/virgin-galactic-is-weeks-away-from-reaching-space-ceo.html,https://cdni.rt.com/files/2018.10/article/5bbc62fadda4c856458b4611.jpg,False,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,0.1,male,NoGlasses,0.15,gray,False,1.0
https://www.aol.com/video/playlist/PL5616/5bbf681e7dde4b1951ad7903/,https://o.aolcdn.com/images/dims?thumbnail=600%2C338&image_uri=http%3A%2F%2Fimg.vidible.tv%2Fprod%2F2018-10%2F11%2F5bbf681e7dde4b1951ad7903%2F5bbf681dfd04b21fee324bc8_o_F_v0.jpg&client=amp-blogside-v2&signature=a5caf8e918ef47c90816ca97648639b16c0282a8,False,61.0,0.0,0.014,0.0,0.0,0.0,0.972,0.005,0.008,0.1,0.1,0.1,male,NoGlasses,0.02,gray,False,0.0
https://en.annahar.com/article/877839-nasa-exploring-flying-space-station-without-crew,https://static2.annahar.com/storage/attachments/878/351013-01-08_317358_large.jpg,False,41.0,0.0,0.0,0.0,0.0,0.775,0.22,0.004,0.0,0.1,0.1,0.4,male,NoGlasses,0.16,black,False,0.775
https://wonderfulengineering.com/these-are-the-twitter-accounts-that-are-worth-following-according-to-elon-musk/,https://cdn.wonderfulengineering.com/wp-content/uploads/2018/10/twitter72.jpg,False,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.11,brown,False,1.0
https://www.bizjournals.com/orlando/news/2018/10/11/moon-matters-why-nasa-spacex-and-others-are-aiming.html,https://media.bizj.us/view/img/10794775/bob-richards-shooting-for-the-moon-hi-res*1200xx5616-3159-0-293.jpg,False,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.03,brown,False,1.0
