articleLink,imageLink,color
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,Green
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,Black
https://www.breakingviews.com/considered-view/tesla-can-find-a-better-chair-than-james-murdoch/,https://www.breakingviews.com/wp-content/uploads/2017/10/JameMurdoch.jpg,Black
https://www.breakingviews.com/considered-view/tesla-can-find-a-better-chair-than-james-murdoch/,https://www.breakingviews.com/wp-content/uploads/2017/10/JameMurdoch.jpg,Orange
https://www.breakingviews.com/considered-view/tesla-can-find-a-better-chair-than-james-murdoch/,https://www.breakingviews.com/wp-content/uploads/2017/10/JameMurdoch.jpg,Red
http://redgreenandblue.org/2018/10/12/lets-look-securities-violations-tesla-teslas-enemies-tons-data/,https://i2.wp.com/redgreenandblue.org/wp-content/uploads/2018/10/oct2.jpg?resize=600%2C208,White
http://redgreenandblue.org/2018/10/12/lets-look-securities-violations-tesla-teslas-enemies-tons-data/,https://i2.wp.com/redgreenandblue.org/wp-content/uploads/2018/10/oct2.jpg?resize=600%2C208,Green
https://teslamotorsclub.com/tmc/threads/software-update-2018-39-7-9736c9b.131646/page-2,https://teslamotorsclub.com/tmc/data/avatars/l/76/76786.jpg?1526237605,White
https://teslamotorsclub.com/tmc/threads/software-update-2018-39-7-9736c9b.131646/page-2,https://teslamotorsclub.com/tmc/data/avatars/l/76/76786.jpg?1526237605,Grey
https://teslamotorsclub.com/tmc/threads/software-update-2018-39-7-9736c9b.131646/page-2,https://teslamotorsclub.com/tmc/data/avatars/l/76/76786.jpg?1526237605,Black
https://www.teslarati.com/tesla-gigafactory-3-preparations-hiring-initiative-145-million-real-estate-bid/,https://www.teslarati.com/wp-content/uploads/2018/07/tesla-china-supercharger-e1531122292628-1000x600.jpg,Grey
https://www.teslarati.com/tesla-gigafactory-3-preparations-hiring-initiative-145-million-real-estate-bid/,https://www.teslarati.com/wp-content/uploads/2018/07/tesla-china-supercharger-e1531122292628-1000x600.jpg,Black
https://cleantechnica.com/2018/10/12/tesla-hiring-again-for-shanghai-gigafactory-3-construction-related-jobs/,https://cleantechnica.com/files/2016/01/Tesla-factory.jpg,Grey
https://cleantechnica.com/2018/10/12/tesla-hiring-again-for-shanghai-gigafactory-3-construction-related-jobs/,https://cleantechnica.com/files/2016/01/Tesla-factory.jpg,White
https://www.msn.com/en-us/autos/news/a-victory-for-elon-musk-tesla-outsells-mercedes-benz-in-us-for-first-time-ever/ar-BBOevZV?li=BBnb4R5,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBOetET.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg,Grey
https://denver.cbslocal.com/2018/10/11/tesla-electric-grid-power-renewable-energy/,https://cbsdenver.files.wordpress.com/2018/10/tesla-battery-10pkg_frame_773.jpg?w=420&h=236,White
https://denver.cbslocal.com/2018/10/11/tesla-electric-grid-power-renewable-energy/,https://cbsdenver.files.wordpress.com/2018/10/tesla-battery-10pkg_frame_773.jpg?w=420&h=236,Grey
