articleLink,imageLink,tag
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,man
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,person
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,necktie
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,wearing
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,indoor
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,suit
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,looking
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,shirt
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,posing
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,front
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,camera
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,photo
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,standing
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,smiling
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,glasses
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,monitor
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,white
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,green
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,black
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,holding
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,close
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,red
