articleLink,imageLink,accessories,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,beard,mustache,sideburns,gender,glasses,bald,hairColor,makeup,smile
https://nz.finance.yahoo.com/news/tesla-sec-reaffirm-settlement-despite-073915969.html,https://s.yimg.com/uu/api/res/1.2/ZDYxGdnELke0pIv2kyemQw--~B/aD0xNTAwO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en-US/homerun/bloomberg_markets_842/bfb6f6150a9e967f5ce32dbcd620cb37,False,49.0,0.0,0.0,0.0,0.0,0.709,0.291,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.03,brown,False,0.709
https://www.nytimes.com/2018/10/11/business/dealbook/tesla-james-murdoch.html,https://static01.nyt.com/images/2018/10/12/business/12db-viewstesla/12db-viewstesla-facebookJumbo.jpg,True,45.0,0.0,0.0,0.0,0.0,0.0,0.509,0.0,0.49,0.1,0.1,0.1,male,ReadingGlasses,0.12,black,False,0.0
https://www.fool.com/investing/2018/10/11/the-biggest-threat-to-tesla-may-be-elon-musks-phon.aspx,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F496753%2Fthumbnail_03.jpg&h=630&w=1200&op=resize,True,42.0,0.0,0.001,0.0,0.0,0.621,0.378,0.0,0.0,0.1,0.1,0.1,male,ReadingGlasses,0.11,black,False,0.621
http://www.inklingsnews.com/news/2018/10/11/elon-musk-steps-down-as-chairman-of-tesla/,http://www.inklingsnews.com/wp-content/uploads/2018/10/Screen-Shot-2018-10-11-at-9.00.56-PM.png,False,38.0,0.0,0.0,0.0,0.0,0.007,0.992,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.1,brown,False,0.007
https://www.voanews.com/a/musk-rejects-report-on-succession-at-tesla/4609684.html,https://gdb.voanews.com/E88EF8ED-172F-43A9-9161-DC59F402829B_cx43_cy0_cw53_w250_r1_s.jpg,True,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,0.6,male,ReadingGlasses,0.05,brown,False,1.0
https://www.thewrap.com/james-murdoch-poised-to-replace-elon-musk-as-tesla-chairman-report/,https://www.thewrap.com/wp-content/uploads/2018/05/James-Murdoch.jpg,True,43.0,0.0,0.0,0.0,0.0,0.0,0.992,0.001,0.007,0.1,0.1,0.1,male,ReadingGlasses,0.06,brown,False,0.0
https://cleantechnica.com/2018/10/11/cnbc-chats-the-tesla-effect-oil-stocks-video/,https://cleantechnica.com/files/2018/10/cnbc-chats-the-tesla-effect-oil-480x350.jpg,False,54.0,0.001,0.0,0.0,0.0,0.002,0.996,0.0,0.0,0.4,0.6,0.4,male,NoGlasses,0.12,gray,False,0.002
https://gizmodo.com/following-years-long-investigation-tesla-coughs-up-13-1829694819,"https://i.kinja-img.com/gawker-media/image/upload/s--d-McdY3m--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ga4rdpcpx4ttdxwrzcse.jpg",False,45.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,0.0,0.1,0.1,0.1,male,NoGlasses,0.07,black,False,0.0
http://currenthollywood.com/2018/10/tesla-james-murdoch-firming-as-chairman-candidate/,https://cleantechnica.com/files/2018/10/Tesla-Model-3-Kyles-Boys.jpg,False,7.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,male,NoGlasses,0.06,brown,False,0.999
http://currenthollywood.com/2018/10/tesla-james-murdoch-firming-as-chairman-candidate/,https://cleantechnica.com/files/2018/10/Tesla-Model-3-Kyles-Boys.jpg,False,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,male,NoGlasses,0.06,brown,False,1.0
http://www.fortworthbusiness.com/news/tesla-ceo-more-infrastructure-needed-for-company-growth/article_84c4ab9e-cd73-11e8-a0ba-5b15a28fc95c.html,https://bloximages.chicago2.vip.townnews.com/fortworthbusiness.com/content/tncms/assets/v3/editorial/2/80/280aec50-cd74-11e8-9f63-e36204f57a27/5bbf7cdb5e6a1.image.jpg?resize=1200%2C800,False,44.0,0.0,0.002,0.0,0.0,0.228,0.77,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.02,brown,False,0.228
https://www.businessinsider.com/tesla-stock-price-millennial-investors-buying-dip-faster-than-ever-2018-10,https://amp.businessinsider.com/images/5bbf6d98ac0a6355f213966c-1334-667.jpg,False,44.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,NoGlasses,0.02,brown,False,1.0
