articleLink,imageLink,caption,confidence
https://wsvn.com/news/local/man-killed-in-parking-lot-of-coconut-creek-walmart/,https://sunbeamwsvn.files.wordpress.com/2018/10/walmat.jpg?quality=60&strip=color&w=1024,a sign on the side of a road,0.7188438249240517
https://adage.com/article/news/wake-call-news-kanye-west-walmart-facebook/315248/,https://gaia.adage.com/images/bin/image/x-large/kanye3X2.jpg,a group of people standing in front of a crowd,0.8992498698362148
https://www.themarketsdaily.com/2018/10/12/walmart-wmt-upgraded-at-deutsche-bank.html,https://www.marketbeat.com/scripts/RatingsAndPriceTargetChart.ashx?Prefix=NYSE&Symbol=WMT,a screenshot of a cell phone,0.915134163213329
https://www.themarketsdaily.com/2018/10/12/arrow-financial-corp-increases-stake-in-walmart-inc-wmt.html,https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NYSE&Symbol=WMT,a screenshot of a video game,0.7041862881746438
https://english.manoramaonline.com/business/news/2018/10/12/flipkart-amazon-big-ticket-sale-season.html,https://img.manoramaonline.com/content/dam/mm/en/business/news/images/2018/10/12/flipkart-amazon.jpg,a sign above a store,0.9036759837187285
https://finovate.com/paypals-walmart-partnership-makes-a-move-for-the-underbanked/,https://30j91a470pw67z1vo3jhe1q1-wpengine.netdna-ssl.com/wp-content/uploads/2018/10/Screen-Shot-2018-10-11-at-10.59.04-AM.png,a person sitting on a table,0.6374445690580357
https://tvnewscheck.com/article/top-news/223642/walmart-att-disney-join-streaming-fray/,https://media.tvnewscheck.com/wp/content/uploads/2018/07/Walmart.jpg,a sign in front of a building,0.9297594607143982
https://www.silverdoctors.com/headlines/world-news/the-trade-war-threatens-walmarts-low-prices/,https://www.silverdoctors.com/wp-content/uploads/2018/01/WalmartGreeter-0001.jpg,a person smiling for the camera,0.6833448957482473
https://baltimore.cbslocal.com/2018/10/11/local-womans-small-biscuit-business-gets-boost-from-walmart/,https://cbsbaltimore.files.wordpress.com/2018/10/1011biscuits.jpg?w=1280,food on a table,0.6272525202482454
http://www.staradvertiser.com/2018/10/11/news/risk-of-streaming-fatigue-rises-as-walmart-att-disney-join-fray/,http://www.staradvertiser.com/wp-content/uploads/2018/10/web1_7662731-7ab50f60600a4500b059976c0822d7ee.jpg,a hand holding a video game,0.3769588154887536
https://5newsonline.com/2018/10/11/walmart-files-a-patent-for-a-shopping-cart-that-reads-pulse-temperature/,https://localtvkfsm.files.wordpress.com/2018/04/s085710860.jpg?quality=85&strip=all&w=1200,a screen shot of a metal fence,0.8323971336453464
https://www.theherald-news.com/2018/10/11/coroners-investigation-of-womans-death-at-lockport-walmart-still-pending/ajv1yhe/,http://www.theherald-news.com/_internal/cimg!0/99ejwj05rayqxx5bvn4xyon42zofykj,a car parked in a parking lot,0.7947520806984937
