articleLink,imageLink,accessories,age,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,beard,mustache,sideburns,gender,glasses,bald,hairColor,makeup,smile
https://finovate.com/paypals-walmart-partnership-makes-a-move-for-the-underbanked/,https://30j91a470pw67z1vo3jhe1q1-wpengine.netdna-ssl.com/wp-content/uploads/2018/10/Screen-Shot-2018-10-11-at-10.59.04-AM.png,False,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.03,brown,True,1.0
https://www.theadvocate.com/new_orleans/news/communities/st_tammany/article_5214490e-cd85-11e8-a286-17d92c452fc9.html,https://bloximages.newyork1.vip.townnews.com/theadvocate.com/content/tncms/assets/v3/editorial/c/00/c00480f2-a2f5-5ed3-bbd4-89424e327301/5751cedfc5b38.image.jpg,False,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.35,black,True,1.0
https://www.silverdoctors.com/headlines/world-news/the-trade-war-threatens-walmarts-low-prices/,https://www.silverdoctors.com/wp-content/uploads/2018/01/WalmartGreeter-0001.jpg,True,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,male,ReadingGlasses,0.11,gray,False,1.0
https://www.shoppersshop.com/walmart-eloquii-101120181,https://cdn.shoppersshop.com/2018pics/eloquii-brand.jpg,False,31.0,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.03,brown,True,0.001
https://www.shoppersshop.com/walmart-eloquii-101120181,https://cdn.shoppersshop.com/2018pics/eloquii-brand.jpg,False,22.0,0.0,0.0,0.0,0.0,0.0,0.99,0.009,0.0,0.0,0.0,0.0,female,NoGlasses,0.01,red,True,0.0
https://www.nwitimes.com/news/local/crime-and-courts/police-gary-gang-member-helped-hobart-walmart-shooter-flee-authorities/article_34737219-995b-5804-8739-f8dd728d95a5.html,https://bloximages.chicago2.vip.townnews.com/nwitimes.com/content/tncms/assets/v3/editorial/4/ca/4cafd107-39f2-547b-94bb-7e6d8eb2e5a6/5bb42ed3b316a.image.jpg,False,30.0,0.0,0.005,0.0,0.0,0.0,0.993,0.001,0.0,0.4,0.4,0.1,male,NoGlasses,0.13,black,False,0.0
https://finance.yahoo.com/news/will-walmarts-mr-mom-reboot-help-streaming-service-195636886.html,https://s.yimg.com/uu/api/res/1.2/.hPbHMVDNs1jmrc7kA8t5g--~B/aD0xNTQyO3c9MjY4NjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/5e5348b34a108bb6555c718e459f3d5f,False,43.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.002,0.0,0.0,0.0,female,NoGlasses,0.08,black,True,0.998
https://finance.yahoo.com/news/will-walmarts-mr-mom-reboot-help-streaming-service-195636886.html,https://s.yimg.com/uu/api/res/1.2/.hPbHMVDNs1jmrc7kA8t5g--~B/aD0xNTQyO3c9MjY4NjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/5e5348b34a108bb6555c718e459f3d5f,False,44.0,0.0,0.0,0.0,0.0,0.001,0.998,0.0,0.001,0.6,0.6,0.1,male,NoGlasses,0.12,black,True,0.001
https://finance.yahoo.com/news/will-walmarts-mr-mom-reboot-help-streaming-service-195636886.html,https://s.yimg.com/uu/api/res/1.2/.hPbHMVDNs1jmrc7kA8t5g--~B/aD0xNTQyO3c9MjY4NjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/5e5348b34a108bb6555c718e459f3d5f,False,42.0,0.0,0.0,0.0,0.0,0.004,0.994,0.001,0.001,0.1,0.1,0.1,male,NoGlasses,0.03,blond,False,0.004
https://finance.yahoo.com/news/will-walmarts-mr-mom-reboot-help-streaming-service-195636886.html,https://s.yimg.com/uu/api/res/1.2/.hPbHMVDNs1jmrc7kA8t5g--~B/aD0xNTQyO3c9MjY4NjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/5e5348b34a108bb6555c718e459f3d5f,False,31.0,0.003,0.0,0.0,0.0,0.0,0.989,0.007,0.0,0.1,0.1,0.1,male,NoGlasses,0.02,brown,True,0.0
https://finance.yahoo.com/news/will-walmarts-mr-mom-reboot-help-streaming-service-195636886.html,https://s.yimg.com/uu/api/res/1.2/.hPbHMVDNs1jmrc7kA8t5g--~B/aD0xNTQyO3c9MjY4NjtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en/homerun/feed_manager_auto_publish_494/5e5348b34a108bb6555c718e459f3d5f,False,30.0,0.076,0.0,0.005,0.0,0.342,0.567,0.003,0.004,0.4,0.4,0.1,male,NoGlasses,0.02,brown,False,0.342
https://www.usatoday.com/story/tech/talkingtech/2018/10/11/streaming-wars-update-apple-warner-mgm-katzenberg-and-walmart/1603731002/,https://www.gannett-cdn.com/-mm-/2feba90afbf931116a7293e627b24e44998aefad/c=0-42-2097-1227/local/-/media/2018/05/02/USATODAY/USATODAY/636608587882973880-9bf69c39db1523e35893b66ae2d99bab6199d50ebaf6e15bb70c20bf7af2f1abcdc5521ae788b40b0b685f8c3bcfcb18.jpg?width=3200&height=1680&fit=crop,False,32.0,0.001,0.0,0.0,0.0,0.0,0.987,0.012,0.0,0.4,0.6,0.6,male,NoGlasses,0.03,black,False,0.0
https://www.usatoday.com/story/tech/talkingtech/2018/10/11/streaming-wars-update-apple-warner-mgm-katzenberg-and-walmart/1603731002/,https://www.gannett-cdn.com/-mm-/2feba90afbf931116a7293e627b24e44998aefad/c=0-42-2097-1227/local/-/media/2018/05/02/USATODAY/USATODAY/636608587882973880-9bf69c39db1523e35893b66ae2d99bab6199d50ebaf6e15bb70c20bf7af2f1abcdc5521ae788b40b0b685f8c3bcfcb18.jpg?width=3200&height=1680&fit=crop,False,19.0,0.0,0.0,0.0,0.0,0.0,0.995,0.003,0.001,0.0,0.0,0.0,female,NoGlasses,0.73,blond,True,0.0
https://www.newsoneplace.com/3379821809/shocked-chewbacca-oklahoma-walmart-smacks,https://cnet3.cbsistatic.com/img/8KrTc1XYTbVkd3GfiHtFk7FjWr4=/300x230/2018/10/11/0bda36e9-3aa2-4f62-a77d-e01320bf5c7e/thatmomentwhen.jpg,False,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,female,NoGlasses,0.26,brown,True,1.0
https://www.msn.com/en-us/finance/news/walmart-taps-mgm-to-beef-up-its-streaming-video-service/ar-BBOfi9j,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BBOf94o.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=585&y=337,False,44.0,0.0,0.0,0.0,0.0,0.001,0.99,0.008,0.0,0.1,0.1,0.1,male,NoGlasses,0.04,brown,False,0.001
https://techcrunch.com/2018/10/11/walmart-eko/,https://techcrunch.com/wp-content/uploads/2017/11/thatmomentwhen1.jpg?w=764,False,24.0,0.0,0.0,0.0,0.0,0.0,0.987,0.002,0.01,0.0,0.0,0.0,female,NoGlasses,0.02,brown,True,0.0
